# pwn/unicode: bidi overrides and isolates, zero-width and invisible characters, homograph / confusable hosts and
# senders, combining-character floods, emoji ZWJ sequences, RTL scripts, digits from other scripts, broken surrogates
# and control characters. Every line must survive every defence; many also pin the expected verdict.
# Format and expectations: README.md in this folder. Columns are TAB-separated.
#! region=IN
# id	sender	expect	tags	body

# ---------------------------------------------------------------- bidi controls (RLO / LRO / isolates) in bodies
unicode-bidi-01	+919876513001	links:1,link-host:evil.example,scam	rlo,link	Your KYC is pending, account will be blocked today. Update: https://evil.example/\u202Emoc.knabcfdh//:sptth
unicode-dig-02	VM-HDFCBK-T	otp:482913	bengali-digits,otp	আপনার OTP হল ৪৮২৯১৩। কারও সাথে শেয়ার করবেন না।
unicode-dig-03	VM-HDFCBK-T	otp:482913	mixed-digit-scripts,otp	Your OTP is 48२9१3. Do not share.
unicode-dig-04	VM-HDFCBK-T	no-crash,no-otp	superscript-digits	Your OTP is ⁴⁸²⁹¹³. Do not share.
unicode-dig-05	VM-HDFCBK-T	no-crash	math-digits	Your OTP is \u{1D7D2}\u{1D7D6}\u{1D7D0}\u{1D7D7}\u{1D7CF}\u{1D7D1}. Do not share.
unicode-dig-06	VM-SBIINB-S	txn:debit,amount:1250.00	devanagari-digits,amount,known-gap	आपके खाते XX1234 से ₹१,२५०.०० डेबिट किए गए। - SBI
unicode-dig-07	+919876513039	likely-scam	devanagari-digits,fake-credit	Rs.२५,०००.०० credited to your A/c XX४३२१ by IMPS. -SBI

# ---------------------------------------------------------------- broken surrogates, NUL and control characters
unicode-sur-01	+919876513041	no-crash	lone-surrogates	\uD800\uD800 OTP is 1234 \uDC00 end \uDBFF
unicode-sur-02	\uD83D	no-crash	lone-surrogate-sender	Rs 500 credited to your A/c XX1111\uDE00
unicode-nul-01	+919876513042	no-crash	nul	Your OTP is \0482913\0 do not share
unicode-nul-02	VM-HDFCBK-S\0	no-crash	nul-sender	Rs 500 credited to A/c XX1234
unicode-ctl-01	+919876513043	no-crash	ansi-escape,control	\u0007\u0008\u001B[31mURGENT\u001B[0m \u001B]8;;https://evil.example\u0007click\u001B]8;;\u0007 \u007F\u0085\u009B
unicode-ctl-02	+919876513044	no-crash	bom,line-separators	\uFEFFHi\u2028there\u2029KYC\u000Bpending\u000Cnow https://kyc-now.top
