# India: fake credit alerts and "return it" follow-ups, UPI PIN / collect bait, KYC / PAN / Aadhaar scares,
# electricity, parcels, tax refunds, jobs, loans, lotteries, digital arrest, sextortion, look-alike links; and the
# genuine DLT-header alerts, OTPs and updates they imitate (which must NOT be flagged).
# Format and expectations: README.md in this folder. Columns are TAB-separated.
#! region=IN
# id	sender	expect	tags	body

# ---------------------------------------------------------------- fake credit alerts from mobile numbers (detector)
in-fc-01	+919876512301	likely-scam,reason:phone-credit-alert,scam	fake-credit	Rs.25,000.00 credited to your A/c XX4321 on 23-09-26 by IMPS Ref 623451789012. Avl Bal Rs.25,340.50 -SBI
in-ok-03	JD-ICICIT-S	not-scam,txn:credit,amount:1500.00	benign,refund	ICICI Bank Acct XX901 credited with Rs 1,500.00 on 23-Sep-26; refund from AMAZON. Wrongly credited? Never return money directly, contact your bank.
in-ok-04	VM-HDFCBK-T	not-scam,category:otp,otp:482913,no-txn	benign,otp	482913 is OTP for txn of INR 2,499.00 at AMAZON on HDFC Bank card ending 4411. Valid till 10:42. Do not share OTP for security reasons
in-ok-05	VM-AXISBK-T	not-scam,otp:482913	benign,otp,hindi,devanagari-digits	आपका ओटीपी ४८२९१३ है। इसे किसी के साथ साझा न करें। - Axis Bank
in-ok-06	VM-PAYTM-T	not-scam,otp:7702	benign,otp	Paytm never asks for OTP. 7702 is your login OTP. Do not share it with anyone including Paytm staff.
in-ok-07	VM-HDFCBK-S	not-scam,no-otp	benign,otp-lookalike	Your cheque no. 004512 for Rs 12,000.00 presented in A/c XX1234 has been cleared on 23-09-26.
in-ok-08	AX-AMAZON-S	not-scam	benign,refund	Refund of Rs 1,299 for your order 403-1234567-1234567 has been processed and will be credited to your ICICI Bank card in 3-5 days.
in-ok-09	VM-HDFCBK-S	not-scam	benign,kyc-genuine,known-gap	Dear Customer, as per RBI guidelines please update your KYC at your nearest branch by 30-Sep-26 to avoid restrictions on your account. Ignore if already done. -HDFC Bank
in-ok-10	JM-JIOSVC-S	not-scam,no-otp	benign,call-alert	Dear Customer, +919999999999 is now available to take calls.
in-ok-11	+919876500111	not-scam	benign,personal,contact,hinglish	Bhai kal 500 bheja tha na, mil gaya? Party ke paise the
in-ok-12	VM-IRCTC-T	not-scam,no-otp	benign,booking	PNR 4512367890, Train 12951, 25-09-26, 3A, CNF B2 34. Chart prepared. Happy journey - IRCTC
in-ok-13	VM-DELHVR-S	not-scam,otp:5521	benign,delivery	Your Delhivery shipment AWB 1234567890123 is out for delivery today. Share OTP 5521 with the delivery agent only at your doorstep.
in-ok-14	BZ-SWIGGY-T	not-scam,no-link-warning	benign,delivery,link	Your Swiggy order #4521 is out for delivery. Track live: https://www.swiggy.com/track/4521
in-ok-15	VK-FLPKRT-P	not-scam,category:promotion	benign,promotion	Big Billion Days are LIVE! Flat 80% off on mobiles. Shop now on the Flipkart app. T&C apply
in-ok-16	VM-SBIINB-S	not-scam,txn:credit	benign,reversal	Dear Customer, Rs 500.00 reversed and credited back to your A/c XX5678 on 23-09-26 for failed UPI txn Ref 626512349999. -SBI
in-ok-17	TX-GOVPOR-G	not-scam	benign,government	Your application for PAN-Aadhaar linking has been processed successfully. No further action is needed.
in-ok-18	+919876500112	not-scam	benign,personal,contact	Rent ke 15000 transfer kar diye hain, check kar lena. Thanks!
in-ok-19	VM-KOTAKB-S	not-scam,txn:debit,amount:1180.00	benign,bank-alert	Sent Rs.1180.00 from Kotak Bank AC X8821 to zomato@kotak on 23-09-26. UPI Ref 626512341111. Not you, https://kotak.com/KBANKT/Fraud
in-ok-21	+919876500113	not-scam	benign,personal,contact,hinglish	Maine 2000 bhej diye, mil gaye? Kal wapas milte hain
in-ok-22	VM-HDFCBK-S	not-scam,no-link-warning,link-host:netbanking.hdfcbank.com	benign,official-subdomain	Log in to NetBanking at https://netbanking.hdfcbank.com to view your statement. Never share your password.
in-ok-20	VM-SBICRD-T	not-scam,no-otp,txn:debit	benign,card	Rs.3,499.00 spent on your SBI Credit Card ending 5678 at MYNTRA on 23/09/26. Avbl Lmt: Rs.96,501. If not you, call 18001801290
