# Generated by android/classify/tools/gen_unicode_tables.py: Joining_Type L/D/R/T ranges and virama (ccc=9) code points for CONTEXTJ. Do not edit.
# Unicode data (c) Unicode, Inc., Unicode License v3: https://www.unicode.org/license.txt
# Source: DerivedJoiningType.txt 17.0.0 sha256=f39ebe974825d6736aee15582250307aa532b2cfab3caf3f86bd23fddc9c5c4d
# Source: DerivedCombiningClass.txt 17.0.0 sha256=191463abfbd202703c6fd6776a92a23ac44ec65e0476a7f95aa91ca492cef29b
J 1887 18A8 D
J 18A9 18A9 T
J 18AA 18AA D
J 1920 1922 T
J 1927 1928 T
J 1932 1932 T
J 1939 193B T
J 1A17 1A18 T
J 1A1B 1A1B T
J 1A56 1A56 T
J 1A58 1A5E T
J 1A60 1A60 T
J 1A62 1A62 T
J 1A65 1A6C T
J 1A73 1A7C T
J 1A7F 1A7F T
J 1AB0 1ADD T
J 1AE0 1AEB T
J 1B00 1B03 T
J 1B34 1B34 T
J 1B36 1B3A T
J 1B3C 1B3C T
J 1B42 1B42 T
J 1B6B 1B73 T
J 1B80 1B81 T
J 1BA2 1BA5 T
J 1BA8 1BA9 T
J 1BAB 1BAD T
J 1BE6 1BE6 T
J 1BE8 1BE9 T
J 1BED 1BED T
J 1BEF 1BF1 T
J 1C2C 1C33 T
J 1C36 1C37 T
J 1CD0 1CD2 T
J 1CD4 1CE0 T
J 1CE2 1CE8 T
J 1CED 1CED T
J 1CF4 1CF4 T
J 1CF8 1CF9 T
J 1DC0 1DFF T
J 200B 200B T
J 200E 200F T
J 202A 202E T
J 2060 2064 T
J 206A 206F T
J 20D0 20F0 T
J 2CEF 2CF1 T
J 2D7F 2D7F T
J 2DE0 2DFF T
J 302A 302D T
J 3099 309A T
J A66F A672 T
J A674 A67D T
J A69E A69F T
J A6F0 A6F1 T
J A802 A802 T
J A806 A806 T
J A80B A80B T
J A825 A826 T
J A82C A82C T
J A840 A871 D
J A872 A872 L
J A8C4 A8C5 T
J A8E0 A8F1 T
J A8FF A8FF T
J A926 A92D T
J A947 A951 T
J A980 A982 T
J A9B3 A9B3 T
J A9B6 A9B9 T
J A9BC A9BD T
J A9E5 A9E5 T
J AA29 AA2E T
J AA31 AA32 T
J AA35 AA36 T
J AA43 AA43 T
J AA4C AA4C T
J AA7C AA7C T
J AAB0 AAB0 T
J AAB2 AAB4 T
J AAB7 AAB8 T
J AABE AABF T
J AAC1 AAC1 T
J AAEC AAED T
J AAF6 AAF6 T
J ABE5 ABE5 T
J ABE8 ABE8 T
J ABED ABED T
J FB1E FB1E T
J FE00 FE0F T
J FE20 FE2F T
J FEFF FEFF T
J FFF9 FFFB T
J 101FD 101FD T
J 102E0 102E0 T
J 10376 1037A T
J 10A01 10A03 T
J 10A05 10A06 T
J 10A0C 10A0F T
J 10A38 10A3A T
J 10A3F 10A3F T
J 10AC0 10AC4 D
J 10AC5 10AC5 R
J 10AC7 10AC7 R
J 10AC9 10ACA R
J 10ACD 10ACD L
J 10ACE 10AD2 R
J 10AD3 10AD6 D
J 10AD7 10AD7 L
J 10AD8 10ADC D
J 10ADD 10ADD R
J 10ADE 10AE0 D
J 10AE1 10AE1 R
J 10AE4 10AE4 R
J 10AE5 10AE6 T
J 10AEB 10AEE D
J 10AEF 10AEF R
J 10B80 10B80 D
J 10B81 10B81 R
J 10B82 10B82 D
J 10B83 10B85 R
J 10B86 10B88 D
J 10B89 10B89 R
J 10B8A 10B8B D
J 10B8C 10B8C R
J 10B8D 10B8D D
J 10B8E 10B8F R
J 10B90 10B90 D
J 10B91 10B91 R
J 10BA9 10BAC R
J 10BAD 10BAE D
J 10D00 10D00 L
J 10D01 10D21 D
J 10D22 10D22 R
J 10D23 10D23 D
J 10D24 10D27 T
J 10D69 10D6D T
J 10EAB 10EAC T
J 10EC2 10EC2 R
J 10EC3 10EC4 D
J 10EC6 10EC7 D
J 10EFA 10EFF T
J 10F30 10F32 D
J 10F33 10F33 R
J 10F34 10F44 D
J 10F46 10F50 T
J 10F51 10F53 D
J 10F54 10F54 R
J 10F70 10F73 D
J 10F74 10F75 R
J 10F76 10F81 D
J 10F82 10F85 T
J 10FB0 10FB0 D
J 10FB2 10FB3 D
J 10FB4 10FB6 R
J 10FB8 10FB8 D
J 10FB9 10FBA R
J 10FBB 10FBC D
J 10FBD 10FBD R
J 10FBE 10FBF D
J 10FC1 10FC1 D
J 10FC2 10FC3 R
J 10FC4 10FC4 D
J 10FC9 10FC9 R
J 10FCA 10FCA D
J 10FCB 10FCB L
J 11001 11001 T
J 11038 11046 T
J 11070 11070 T
J 11073 11074 T
J 1107F 11081 T
J 110B3 110B6 T
J 110B9 110BA T
J 110C2 110C2 T
J 11100 11102 T
J 11127 1112B T
J 1112D 11134 T
J 11173 11173 T
J 11180 11181 T
J 111B6 111BE T
J 111C9 111CC T
J 111CF 111CF T
J 1122F 11231 T
J 11234 11234 T
J 11236 11237 T
J 1123E 1123E T
J 11241 11241 T
J 112DF 112DF T
J 112E3 112EA T
J 11300 11301 T
J 1133B 1133C T
J 11340 11340 T
J 11366 1136C T
J 11370 11374 T
J 113BB 113C0 T
J 113CE 113CE T
J 113D0 113D0 T
J 113D2 113D2 T
J 113E1 113E2 T
J 11438 1143F T
J 11442 11444 T
J 11446 11446 T
J 1145E 1145E T
J 114B3 114B8 T
J 114BA 114BA T
J 114BF 114C0 T
J 114C2 114C3 T
J 115B2 115B5 T
J 115BC 115BD T
J 115BF 115C0 T
J 115DC 115DD T
J 11633 1163A T
J 1163D 1163D T
J 1163F 11640 T
J 116AB 116AB T
J 116AD 116AD T
J 116B0 116B5 T
J 116B7 116B7 T
J 1171D 1171D T
J 1171F 1171F T
J 11722 11725 T
J 11727 1172B T
J 1182F 11837 T
J 11839 1183A T
J 1193B 1193C T
J 1193E 1193E T
J 11943 11943 T
J 119D4 119D7 T
J 119DA 119DB T
J 119E0 119E0 T
J 11A01 11A0A T
J 11A33 11A38 T
J 11A3B 11A3E T
J 11A47 11A47 T
J 11A51 11A56 T
J 11A59 11A5B T
J 11A8A 11A96 T
J 11A98 11A99 T
J 11B60 11B60 T
J 11B62 11B64 T
J 11B66 11B66 T
J 11C30 11C36 T
J 11C38 11C3D T
J 11C3F 11C3F T
J 11C92 11CA7 T
J 11CAA 11CB0 T
J 11CB2 11CB3 T
J 11CB5 11CB6 T
J 11D31 11D36 T
J 11D3A 11D3A T
J 11D3C 11D3D T
J 11D3F 11D45 T
J 11D47 11D47 T
J 11D90 11D91 T
J 11D95 11D95 T
J 11D97 11D97 T
J 11EF3 11EF4 T
J 11F00 11F01 T
J 11F36 11F3A T
J 11F40 11F40 T
J 11F42 11F42 T
J 11F5A 11F5A T
J 13430 13440 T
J 13447 13455 T
J 1611E 16129 T
J 1612D 1612F T
J 16AF0 16AF4 T
J 16B30 16B36 T
J 16F4F 16F4F T
J 16F8F 16F92 T
J 16FE4 16FE4 T
J 1BC9D 1BC9E T
J 1BCA0 1BCA3 T
J 1CF00 1CF2D T
J 1CF30 1CF46 T
J 1D167 1D169 T
J 1D173 1D182 T
J 1D185 1D18B T
J 1D1AA 1D1AD T
J 1D242 1D244 T
J 1DA00 1DA36 T
J 1DA3B 1DA6C T
J 1DA75 1DA75 T
J 1DA84 1DA84 T
J 1DA9B 1DA9F T
J 1DAA1 1DAAF T
J 1E000 1E006 T
J 1E008 1E018 T
J 1E01B 1E021 T
J 1E023 1E024 T
J 1E026 1E02A T
J 1E08F 1E08F T
J 1E130 1E136 T
J 1E2AE 1E2AE T
J 1E2EC 1E2EF T
J 1E4EC 1E4EF T
J 1E5EE 1E5EF T
J 1E6E3 1E6E3 T
J 1E6E6 1E6E6 T
J 1E6EE 1E6EF T
J 1E6F5 1E6F5 T
J 1E8D0 1E8D6 T
J 1E900 1E943 D
J 1E944 1E94B T
J E0001 E0001 T
J E0020 E007F T
J E0100 E01EF T
V 94D
V 9CD
V A4D
V ACD
V B4D
V BCD
V C4D
V CCD
V D3B
V D3C
V D4D
V DCA
V E3A
V EBA
V F84
V 1039
V 103A
V 1714
V 1715
V 1734
V 17D2
V 1A60
V 1B44
V 1BAA
V 1BAB
V 1BF2
V 1BF3
V 2D7F
V A806
V A82C
V A8C4
V A953
V A9C0
V AAF6
V ABED
V 10A3F
V 11046
V 11070
V 1107F
V 110B9
V 11133
V 11134
V 111C0
V 11235
V 112EA
V 1134D
V 113CE
V 113CF
V 113D0
V 11442
V 114C2
V 115BF
V 1163F
V 116B6
V 1172B
V 11839
V 1193D
V 1193E
V 119E0
V 11A34
V 11A47
V 11A99
V 11C3F
V 11D44
V 11D45
V 11D97
V 11F41
V 11F42
V 1612F
